1000320,CLOSED,1/20/1989,280,EAST 10 STREET,1005909,103,10,MAN.,1/25/2016,L2,1/25/2016,2016 Jan 26
1368532,CLOSED,4/1/2014,1305,YORK AVENUE,1045586,108,59,ELCTR,4/3/2014,I2,4/2/2014,2014 Apr 04
1368607,ACTIVE,4/2/2014,1571,YORK AVENUE,1087330,108,5,MAN.,,,,2014 Apr 03
1368498,CLOSED,4/1/2014,1667,YORK AVENUE,1050591,108,30,ERT,4/2/2014,C2,4/2/2014,2014 Apr 03
1368498,ACTIVE,4/1/2014,1667,YORK AVENUE,1050591,108,30,ERT,4/1/2014,C1,4/1/2014,2014 Apr 02
1368532,ACTIVE,4/1/2014,1305,YORK AVENUE,1045586,108,59,ELCTR,,,,2014 Apr 02
1367632,CLOSED,3/18/2014,1385,YORK AVENUE,1045876,108,73,MAN.,3/27/2014,I2,3/26/2014,2014 Mar 28
5109032,CLOSED,3/20/2014,342,YORK AVENUE,5110192,501,2E,BEST,3/20/2014,P6,3/20/2014,2014 Mar 21
1367831,ACTIVE,3/20/2014,1275,YORK AVENUE,1087284,108,4B,SEP,,,,2014 Mar 21
1367632,ACTIVE,3/18/2014,1385,YORK AVENUE,1045876,108,73,MAN.,,,,2014 Mar 19
1367544,CLOSED,3/16/2014,1113,YORK AVENUE,1045277,108,4,ERT,3/17/2014,I2,3/17/2014,2014 Mar 18
1366711,CLOSED,3/4/2014,1595,YORK AVENUE,1050499,108,5,MAN.,3/13/2014,I2,3/12/2014,2014 Mar 14
